Mean,Std
-87.23097,0.3538384
-87.23941,0.36324158
-87.26178,0.3749271
-87.259285,0.3578141
-87.26842,0.36152762
-87.26374,0.3674709
-87.24398,0.36922696
-87.21209,0.35777524
-87.185616,0.36176577
-87.18704,0.361792
-87.19879,0.36538413
-87.22464,0.35658824
-87.21267,0.3559176
-87.17614,0.35776025
-87.145226,0.3449862
-87.141754,0.3526761
-87.15693,0.34259236
-87.17713,0.34346834
-87.182274,0.34365633
-87.1803,0.3537983
-87.154915,0.3395867
-87.12948,0.35619316
-87.12136,0.3433192
-87.14993,0.3273493
-87.15421,0.34564966
-87.15144,0.33871865
-87.140434,0.3345347
-87.092476,0.32839596
-87.05175,0.3321239
-87.05838,0.3422226
-87.085945,0.33957845
-87.09494,0.34324235
-87.104,0.34199885
-87.07453,0.3336701
-87.038994,0.32543463
-87.02444,0.32344678
-87.040215,0.32786065
-87.04842,0.34201744
-87.06272,0.34858227
-87.064964,0.32713667
-87.03429,0.31888092
-87.02154,0.31298196
-86.99151,0.3292004
-86.99421,0.32610962
-87.02177,0.32848135
-87.01964,0.32748166
-87.00457,0.33471164
-86.9763,0.3311953
-86.945984,0.31092227
-86.96237,0.31667313
-86.97106,0.32988185
-86.98591,0.32825974
-86.97444,0.32369077
-86.96478,0.31320274
-86.91197,0.30229107
-86.90904,0.30047706
-86.91425,0.29322064
-86.92027,0.29040325
-86.92137,0.31571963
-86.92434,0.31723642
-86.897705,0.31025866
-86.867805,0.30824336
-86.87365,0.31455353
-86.88165,0.31231984
-86.89896,0.29372013
-86.88858,0.27825287
-86.85982,0.30208
-86.85293,0.3124418
-86.83859,0.30373716
-86.84041,0.31072333
-86.85528,0.30557808
-86.882805,0.30481437
-86.84593,0.2880383
-86.819885,0.27722928
-86.7993,0.2900654
-86.80811,0.31832847
-86.8263,0.3106581
-86.81884,0.30358544
-86.82288,0.31142077
-86.77205,0.33055693
-86.70994,0.3462182
-86.75628,0.29615584
-86.77273,0.28854254
-86.767685,0.305631
-86.76823,0.30022764
-86.77136,0.3036418
-86.75035,0.30154157
-86.75091,0.304976
-86.74664,0.27718896
-86.76811,0.297953
-86.752846,0.31083044
-86.74231,0.31759182
-86.73278,0.2862727
-86.713585,0.28600577
-86.68892,0.2880923
-86.69157,0.2937996
-86.71275,0.2860502
-86.71265,0.30032423
-86.70704,0.28963387
-86.67506,0.28697813
-86.63766,0.2793226
-86.635345,0.28002238
-86.66019,0.29671463
-86.67761,0.29303908
-86.68129,0.28821135
-86.67574,0.2768165
-86.641014,0.29484898
-86.61247,0.31440097
-86.61657,0.29348716
-86.630005,0.27312934
-86.628685,0.27991304
-86.62938,0.28912574
-86.61417,0.2848499
